1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
2.1.1.185	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)
2.1.1.198	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)
2.1.1.242	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)
2.4.2.7	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
2.8.3.16	Formyl-CoA:oxalate CoA-transferase (FCOCT) (EC 2.8.3.16) (Formyl-coenzyme A transferase) (Formyl-CoA transferase)
2.7.8.31	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (UDP-Glc:Und-P Glc-1-P transferase) (EC 2.7.8.31) (Colanic acid biosynthesis UDP-glucose lipid carrier transferase) (Glucosyl-P-P-undecaprenol synthase)
2.5.1.115	Homogentisate phytyltransferase (HPT) (EC 2.5.1.115)
2.4.1.213	Glucosylglycerol-phosphate synthase (EC 2.4.1.213) (Glucosyl-glycerol-phosphate synthase) (GG-phosphate synthase) (GGPS)
2.1.1.295	"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase (EC 2.1.1.295) (2-methyl-6-phytylbenzoquinone/2-methyl-6-solanyl-1,4-benzoquinone methyltransferase) (MPBQ/MSBQ methyltransferase)"
2.7.1.182	Phytol kinase (EC 2.7.1.182)
2.1.1.181	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)
2.1.1.189	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC (EC 2.1.1.189) (23S rRNA(m5U747)-methyltransferase)
2.1.1.191	Ribosomal RNA large subunit methyltransferase I (EC 2.1.1.191) (23S rRNA m5C1962 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RlmI)
2.1.1.178	Ribosomal RNA small subunit methyltransferase F (EC 2.1.1.178) (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF)
2.8.3.19	Acetyl-CoA:oxalate CoA-transferase (ACOCT) (EC 2.8.3.19) (Acetyl-coenzyme A transferase) (CoA:oxalate CoA-transferase)
2.3.1.193	tRNA(Met) cytidine acetyltransferase TmcA (EC 2.3.1.193)
2.1.1.61	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)]
2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)
2.7.1.170	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)
2.6.1.81	Succinylornithine transaminase (SOAT) (EC 2.6.1.81) (Carbon starvation protein C) (Succinylornithine aminotransferase)
2.8.1.4	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)
2.4.2.53	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Polymyxin resistance protein PmrF) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)
2.6.1.88	Methionine aminotransferase (EC 2.6.1.88) (Methionine-oxo-acid transaminase)
2.8.1.1	Thiosulfate sulfurtransferase YnjE (EC 2.8.1.1)
2.4.1.25	4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme)
2.7.10.2	Tyrosine-protein kinase YwqD (EC 2.7.10.2)
2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (SaFabH)
2.4.2.45	Decaprenyl-phosphate phosphoribosyltransferase (EC 2.4.2.45) (5-phospho-alpha-D-ribose-1-diphosphate:decaprenyl-phosphate 5-phosphoribosyltransferase) (DPPR synthase)
2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase TrmI (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase) (tRNA(m1A58)MTase)
2.2.1.6	Acetolactate synthase large subunit IlvG (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase large subunit) (AHAS)
2.3.1.189	Mycothiol acetyltransferase (MSH acetyltransferase) (EC 2.3.1.189) (Mycothiol synthase)
2.3.1.20	Putative diacyglycerol O-acyltransferase Rv3087 (EC 2.3.1.20) (Putative triacylglycerol synthase Rv3087)
2.5.1.10	"(2E,6E)-farnesyl diphosphate synthase (E,E-FPP synthase) (FPP synthase) (EC 2.5.1.10)"
2.7.7.53	"AP-4-A phosphorylase (EC 2.7.7.53) (ATP adenylyltransferase) (Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase) (AP,A phosphorylase)"
2.4.1.289	"N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase (EC 2.4.1.289) (Rhamnosyltransferase WbbL) (dTDP-Rha:alpha-D-GlcNAc-pyrophosphate polyprenol, alpha-3-L-rhamnosyltransferase)"
2.4.1.11	"Glycogen synthase (EC 2.4.1.11) (Alpha-1,4-glucosyltransferase Rv3032) (UDP-glucose--glycogen glucosyltransferase)"
2.4.1.21	"Capsular glucan synthase (EC 2.4.1.21) (ADP-glucose--glucan glucosyltransferase) (Alpha-1,4-glucosyltransferase GlgA) (Extracellular alpha-D-glucan synthase)"
2.4.2.46	Arabinofuranosyltransferase AftA (EC 2.4.2.46)
2.4.1.109	Probable dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)
2.7.7.27	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)
2.4.1.18	"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen-branching enzyme) (BE)"
2.3.2.21	Cyclo(L-tyrosyl-L-tyrosyl) synthase (EC 2.3.2.21) (Cyclodipeptide synthase) (CDPS) (Cyclodityrosine synthase)
2.4.99.16	"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase (GMPMT) (EC 2.4.99.16) ((1->4)-alpha-D-glucan:maltose-1-phosphate alpha-D-maltosyltransferase) ((1->4)-alpha-D-glucan:phosphate alpha-D-maltosyltransferase)"
2.3.1.118	"N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118) (Arylamine N-acetyltransferase) (Arylhydroxamate N,O-acetyltransferase) (NAT101)"
2.7.8.26	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)
2.4.2.21	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)
2.1.1.196	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) (EC 2.1.1.196)
2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (General stress protein 33) (GSP33) (UDP-glucose pyrophosphorylase) (UDPGP) (Uridine diphosphoglucose pyrophosphorylase)
2.7.7.n1	Adenosine monophosphate-protein transferase and cysteine protease IbpA (HMW IgBP) (p120) [Cleaved into: Protein p76 IgBP (76 kDa antigen)] [Includes: Adenosine monophosphate-protein transferase IbpA (EC 2.7.7.n1) (AMPylator IbpA); Cysteine protease IbpA (EC 3.4.22.-)]
2.7.7.82	"CMP-N,N'-diacetyllegionaminic acid synthase (EC 2.7.7.82)"
2.5.1.101	"N,N'-diacetyllegionaminic acid synthase (EC 2.5.1.101)"
2.5.1.97	Pseudaminic acid synthase (EC 2.5.1.97) (Pseudaminic acid biosynthesis protein I)
2.4.1.292	"GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase (EC 2.4.1.292) (Protein glycosylation H)"
2.4.1.293	"GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase (EC 2.4.1.293) (Protein glycosylation I)"
2.4.1.291	"N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase (EC 2.4.1.291) (Protein glycosylation J)"
2.4.1.290	"N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290) (Protein glycosylation A)"
2.7.8.36	"Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase (EC 2.7.8.36) (Protein glycosylation C)"
2.3.1.203	"UDP-N-acetylbacillosamine N-acetyltransferase (EC 2.3.1.203) (Protein glycosylation D) (UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine N-acetyltransferase)"
2.6.1.34	"UDP-N-acetylbacillosamine transaminase (EC 2.6.1.34) (Protein glycosylation pathway protein E) (UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine transaminase) (UDP-4-keto-6-deoxy-GlcNAc C4 aminotransferase)"
2.4.1.245	Trehalose synthase (EC 2.4.1.245) (Trehalose glycosyltransferring synthase)
2.5.1.96	"Dehydrosqualene synthase (EC 2.5.1.96) (4,4'-diapophytoene synthase) (DAP synthase) (Diapophytoene synthase)"
2.3.2.16	Lipid II:glycine glycyltransferase (EC 2.3.2.16) (Factor essential for expression of methicillin resistance X)
2.3.2.18	Aminoacyltransferase FemB (EC 2.3.2.18) (Factor essential for expression of methicillin resistance B) (N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(N6-triglycine)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine glycyltransferase)
2.3.2.17	Aminoacyltransferase FemA (EC 2.3.2.17) (Factor essential for expression of methicillin resistance A) (N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(N6-glycyl)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine glycyltransferase)
2.1.1.179	16S rRNA (guanine(1405)-N(7))-methyltransferase (EC 2.1.1.179) (16S rRNA m7G1405 methyltransferase)
2.7.1.27	Erythritol kinase (EC 2.7.1.27)
2.7.7.76	Molybdenum cofactor cytidylyltransferase (MoCo cytidylyltransferase) (EC 2.7.7.76) (CTP:molybdopterin cytidylyltransferase) (Mo-MPT cytidylyltransferase) (Molybdopterin cytidylyltransferase) (Molybdopterin-cytosine dinucleotide synthase) (MCD synthase)
2.1.1.10	Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)
2.5.1.88	"Trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific) (EC 2.5.1.88) (Cis-prenyltransferase) (Dodecaprenyl diphosphate synthase)"
2.3.1.101	Formyltransferase/hydrolase complex subunit D (Ftr complex) (EC 2.3.1.101) (Formylmethanofuran--tetrahydromethanopterin formyltransferase) (H4MPT formyltransferase)
2.1.1.269	Dimethylsulfonioproprionate demethylase DmdA (EC 2.1.1.269)
2.4.2.2	Pyrimidine-nucleoside phosphorylase (PYNP) (EC 2.4.2.2)
2.5.1.120	Aminodeoxyfutalosine synthase (AFL synthase) (Aminofutalosine synthase) (EC 2.5.1.120) (Menaquinone biosynthetic enzyme MqnE)
2.3.1.229	4-coumaroyl-homoserine lactone synthase (EC 2.3.1.229) (p-coumaryl-homoserine lactone synthase) (pC-HSL synthase)
2.6.1.39	2-aminoadipate transaminase (EC 2.6.1.39) (2-aminoadipate aminotransferase) (Alpha-aminoadipate aminotransferase) (AAA-AT) (AadAT)
2.3.1.182	(R)-citramalate synthase (EC 2.3.1.182) (Citramalate synthase)
2.4.1.9	Inulosucrase (IS) (EC 2.4.1.9)
2.6.1.102	GDP-perosamine synthase (EC 2.6.1.102)
2.3.1.227	GDP-perosamine N-acetyltransferase (EC 2.3.1.227)
2.4.2.31	Photox toxin (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase) (mADPRT) (mART) (NAD(+)--arginine ADP-ribosyltransferase)
2.1.1.156	Glycine/sarcosine N-methyltransferase (EC 2.1.1.156)
2.1.1.161	Dimethylglycine N-methyltransferase (EC 2.1.1.161)
2.7.7.70	D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)
2.7.1.167	D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase)
2.3.1.89	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89) (Tetrahydrodipicolinate N-acetyltransferase) (THP acetyltransferase) (Tetrahydropicolinate acetylase)"
2.1.3.6	Putrescine carbamoyltransferase (PTC) (PTCase) (EC 2.1.3.6) (Agmatine catabolism protein B) (Putrescine transcarbamoylase) (Putrescine transcarbamylase)
2.1.1.80	Chemotaxis protein methyltransferase Cher2 (EC 2.1.1.80)
2.6.1.48	5-aminovalerate aminotransferase DavT (EC 2.6.1.48) (5-aminovalerate transaminase) (Delta-aminovalerate aminotransferase)
2.3.1.228	Isovaleryl-homoserine lactone synthase (IV-HSL synthase) (EC 2.3.1.228) (Autoinducer synthesis protein BjaI)
2.1.3.9	N-acetylornithine carbamoyltransferase (AOTCase) (EC 2.1.3.9)
2.4.1.320	"1,4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320) (4-O-beta-D-mannopyranosyl-N-acetyl-D-glucosamine:phosphate alpha-D-mannosyltransferase)"
2.4.1.157	"Alpha-monoglucosyldiacylglycerol synthase (Alpha-MGS) (MGlcDAG synthase) (EC 2.4.1.157) (1,2-Diacylglycerol 3-glucosyltransferase) (UDP-glucose:1,2-diacylglycerol 3-alpha-D-glucosyltransferase)"
2.3.1.210	"dTDP-fucosamine acetyltransferase (EC 2.3.1.210) (TDP-fucosamine acetyltransferase) (dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase)"
2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDH component E2)
2.4.1.321	Cellobionic acid phosphorylase (EC 2.4.1.321) (4-O-beta-D-glucopyranosyl-D-gluconate:phosphate alpha-D-glucosyltransferase)
2.8.3.8	Acetate CoA-transferase YdiF (EC 2.8.3.8) (Short-chain acyl-CoA:acetate CoA-transferase)
2.7.7.13	Mannose-1-phosphate guanylyltransferase 1 (EC 2.7.7.13) (GDP-mannose pyrophosphorylase 1) (GMP 1) (GMPP 1)
2.7.1.85	Beta-glucoside kinase (EC 2.7.1.85)
2.3.1.200	Lipoyl-[GcvH]:protein N-lipoyltransferase (EC 2.3.1.200) (Lipoyl amidotransferase) (Lipoyl-[GcvH]:E2 amidotransferase)
2.7.7.33	Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33) (CDP-glucose pyrophosphorylase)
2.6.1.87	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (Polymyxin resistance protein PmrH) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)
2.4.1.333	"1,2-beta-oligoglucan phosphorylase (EC 2.4.1.333)"
2.6.1.30	Pyridoxamine--pyruvate transaminase (EC 2.6.1.30) (Pyridoxamine-pyruvate aminotransferase)
2.1.1.255	Geranyl diphosphate 2-C-methyltransferase (GPP methyltransferase) (EC 2.1.1.255)
2.3.1.233	"1,3,6,8-tetrahydroxynaphthalene synthase (THNS) (EC 2.3.1.233) (1,3,6,8-tetrahydroxynaphthalene synthesis polyketide synthase type III)"
2.6.1.84	Arginine--pyruvate transaminase AruH (EC 2.6.1.84)
2.3.1.207	Beta-ketodecanoyl-[acyl-carrier-protein] synthase (EC 2.3.1.207)
2.6.1.98	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase (UDP-3-oxo-D-GlcNAcA aminotransferase) (EC 2.6.1.98) (UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronic acid transaminase) (UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase)
2.4.2.44	S-methyl-5'-thioinosine phosphorylase (EC 2.4.2.44) (5'-methylthioinosine phosphorylase) (MTI phosphorylase) (MTIP)
2.3.2.13	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase protein A) (TGase A)
2.6.1.18	Beta-alanine--pyruvate aminotransferase (Beta-A--Py AT) (EC 2.6.1.18) (Beta-alanine--pyruvate transaminase) (Omega-amino acid aminotransferase) (Omega-amino acid AT) (Omega-amino acid--pyruvate aminotransferase) (Omega-APT)
2.1.1.264	Ribosomal RNA large subunit methyltransferase K (EC 2.1.1.264) (23S rRNA m7G2069 methyltransferase) (rRNA (guanine-N(7)-)-methyltransferase RlmK)
2.3.3.13	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)
2.1.1.173	Ribosomal RNA large subunit methyltransferase L (EC 2.1.1.173) (23S rRNA m2G2445 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RlmL)
2.7.1.8	Glucosamine kinase GspK (EC 2.7.1.8) (GlcN kinase)
2.6.1.51	Serine-pyruvate aminotransferase (SAT) (EC 2.6.1.51)
2.7.1.165	D-glycerate 2-kinase (GCK) (EC 2.7.1.165)
2.7.2.7	Probable butyrate kinase 2 (BK 2) (EC 2.7.2.7) (Branched-chain carboxylic acid kinase 2)
2.7.1.177	L-threonine kinase (EC 2.7.1.177) (Propanediol utilization protein PduX)
2.3.1.222	Phosphate propanoyltransferase (EC 2.3.1.222) (Phosphate acyltransferase PduL) (Phosphotransacylase PduL) (PTAC) (Propanediol utilization protein PduL)
2.7.1.19	PRK prkB phosphoribulokinase
3.5.1.25	N-acetylgalactosamine-6-phosphate deacetylase (GalNAc-6-P deacetylase) (EC 3.5.1.-) (N-acetylglucosamine-6-phosphate deacetylase) (GlcNAc-6-P deacetylase) (EC 3.5.1.25)
3.5.99.6	D-galactosamine-6-phosphate deaminase AgaS (GalN-6-P deaminase) (EC 3.5.99.-) (Glucosamine-6-phosphate deaminase) (GlcN-6-P deaminase) (EC 3.5.99.6)
3.2.2.26	Futalosine hydrolase (FL hydrolase) (EC 3.2.2.26) (Futalosine nucleosidase) (Menaquinone biosynthetic enzyme MqnB)
3.5.4.40	Aminodeoxyfutalosine deaminase (AFL deaminase) (Aminofutalosine deaminase) (EC 3.5.4.40)
3.1.3.3	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)
3.6.3.27	Phosphate-import ATP-binding protein PhnC (EC 3.6.3.27)
3.4.25.1	Proteasome subunit alpha (EC 3.4.25.1) (20S proteasome alpha subunit) (Proteasome core protein PrcA)
3.2.1.28	"Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)"
3.5.1.115	Mycothiol S-conjugate amidase (EC 3.5.1.115)
3.6.1.8	Nucleoside triphosphate pyrophosphohydrolase (NTP-PPase) (EC 3.6.1.8)
3.1.1.29	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)
3.5.1.118	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase (EC 3.5.1.118) (Gamma-glutamyl hercynylcysteine S-oxide hydrolase)
3.2.1.156	Reducing end xylose-releasing exo-oligoxylanase (RexA) (EC 3.2.1.156)
3.2.1.78	"Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (BaMan26A) (Beta-mannanase)"
3.2.1.23	Beta-galactosidase BgaB (Beta-gal) (EC 3.2.1.23) (Beta-Gal II)
3.6.4.12	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease RexB)
3.2.1.176	"Cellulose 1,4-beta-cellobiosidase (reducing end) CelS (EC 3.2.1.176) (Cellobiohydrolase CelS) (Cellulase SS) (Endo-1,4-beta-glucanase) (Endoglucanase SS) (EGSS) (Exocellulase)"
3.2.1.55	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase (ABF) (EC 3.2.1.55) (Intracellular arabinan exo-alpha-(1->5)-L-arabinosidase) (Arabinosidase)
3.2.1.14	Chitinase ChiA (EC 3.2.1.14)
3.4.24.69	Botulinum neurotoxin type A (BoNT/A) (EC 3.4.24.69) (Bontoxilysin-A) (BOTOX) [Cleaved into: Botulinum neurotoxin A light chain; Botulinum neurotoxin A heavy chain]
3.2.1.99	"Extracellular endo-alpha-(1->5)-L-arabinanase (ABN) (EC 3.2.1.99) (Endo-1,5-alpha-L-arabinanase)"
3.5.2.6	Beta-lactamase (EC 3.5.2.6) (Ambler class A beta-lactamase)
3.5.4.33	tRNA-specific adenosine deaminase (EC 3.5.4.33)
3.2.1.67	Alpha-galacturonidase (EC 3.2.1.67)
3.6.5.5	Bacterial dynamin-like protein (BDLP) (EC 3.6.5.5)
3.4.22.47	Lys-gingipain (EC 3.4.22.47) (Lysine-specific cysteine proteinase Kgp) [Cleaved into: Lys-gingipain catalytic subunit; 39 kDa adhesin; 15 kDa adhesin; 44 kDa adhesin]
3.2.1.131	Extracellular xylan exo-alpha-(1->2)-glucuronosidase (EC 3.2.1.131) (Alpha-glucuronidase)
3.2.1.22	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase) (Alpha-galactosidase 27A) (Melibiase)
3.1.1.72	Peptidoglycan deacetylase (PG deacetylase) (EC 3.5.1.-) (Acetylxylan esterase) (EC 3.1.1.72)
3.2.1.96	Endo-beta-N-acetylglucosaminidase (EC 3.2.1.96) (Endoglycosidase BI-1) (EndoBI-1)
3.5.4.11	Pterin deaminase (PDA) (EC 3.5.4.11)
3.1.3.70	Glucosyl-3-phosphoglycerate/mannosyl-3-phosphoglycerate phosphatase (GpgP) (MpgP) (EC 3.1.3.70)
3.2.1.41	"Pullulanase (EC 3.2.1.41) (Alpha-dextrin endo-1,6-alpha-glucosidase) (Pullulan 6-glucanohydrolase)"
3.2.1.8	"Endo-1,4-beta-xylanase A (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)"
3.1.1.81	N-acyl homoserine lactonase (AHL-lactonase) (EC 3.1.1.81)
3.1.4.57	"Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase (EC 3.1.4.57) (Cyclic phosphate dihydrolase) (cPDH)"
3.4.22.8	clostripain (EC 3.4.22.8) cloSI extracellular peptide hydrolysis
3.1.2.30	(3S)-malyl-CoA thioesterase (EC 3.1.2.30) ((3S)-malyl-CoA thiolesterase)
3.1.21.4	Type-2 restriction enzyme AplI (R.AplI) (EC 3.1.21.4) (Endonuclease AplI) (Type II restriction enzyme AplI)
3.5.1.47	N-acetyldiaminopimelate deacetylase (EC 3.5.1.47)
3.1.1.73	Carbohydrate acetyl esterase/feruloyl esterase [Includes: Carbohydrate acetyl esterase (EC 3.1.1.-); Feruloyl esterase (EC 3.1.1.73) (Ferulic acid esterase)]
3.2.1.178	Beta-porphyranase B (EC 3.2.1.178)
3.2.1.81	Beta-agarase D (EC 3.2.1.81)
3.2.1.185	Non-reducing end beta-L-arabinofuranosidase (EC 3.2.1.185) (Beta-L-arabinofuranosidase HypBA1)
3.2.1.187	Beta-L-arabinobiosidase (EC 3.2.1.187) (Arabinofuranosyl(3)-Hyp beta-L-arabinobiosidase)
3.6.3.32	Carnitine transport ATP-binding protein OpuCA (EC 3.6.3.32)
3.2.1.58	"Exo-beta-1,3-glucanase (EC 3.2.1.58) (Glucan 1,3-beta-glucosidase) (Laminarinase) (SacteLam55A)"
3.2.1.3	"Glucan 1,4-alpha-glucosidase SusB (EC 3.2.1.3) (Alpha-glucosidase SusB) (Glucoamylase SusB) (Starch-utilization system protein B)"
3.2.1.183	UDP-N-acetylglucosamine 2-epimerase (EC 3.2.1.183)
3.1.1.1	Lipase LipV (EC 3.1.1.1)
3.2.2.n1	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (Protein LONELY GUY homolog) (LOG homolog)
3.2.1.86	6-phospho-beta-glucosidase GmuD (EC 3.2.1.86) (Aryl-phospho-beta-D-glucosidase BglD) (Glucomannan utilization protein D)
3.5.1.23	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase)
3.2.1.64	"Levanbiose-producing levanase (EC 3.2.1.64) (2,6-beta-fructan 6-levanbiohydrolase) (Endo-levanase)"
3.2.1.89	"Arabinogalactan endo-beta-1,4-galactanase (EC 3.2.1.89) (Endo-1,4-beta-galactanase) (Galactanase)"
3.1.3.92	Kanosamine-6-phosphate phosphatase (EC 3.1.3.92)
3.5.4.4	Adenosine deaminase (EC 3.5.4.4)
3.5.4.16	GTP cyclohydrolase 1 type 2 (EC 3.5.4.16) (GTP cyclohydrolase I)
3.1.4.17	"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17) (cAMP/cGMP phosphodiesterase)"
3.6.1.3	ATP/GTP phosphatase (ATPase/GTPase) (EC 3.6.1.-) (EC 3.6.1.3)
3.5.1.49	Formamidase (EC 3.5.1.49) (Formamide amidohydrolase)
3.2.1.172	Unsaturated rhamnogalacturonyl hydrolase YesR (URH) (EC 3.2.1.172)
3.6.1.17	"Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical] (EC 3.6.1.17) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Diadenosine tetraphosphatase)"
3.1.3.87	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase (HK-MTPenyl-1-P phosphatase) (EC 3.1.3.87)
3.4.19.11	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS (EC 3.4.19.11) (Cell wall lytic enzyme associated with cell separation)
3.6.3.54	Copper-exporting P-type ATPase A (Protein CopA) (EC 3.6.3.54) (Cu(+)-exporting ATPase)
3.4.24.75	Glycyl-glycine endopeptidase LytM (EC 3.4.24.75) (Autolysin LytM)
3.2.1.26	Beta-fructosidase (EC 3.2.1.26) (Invertase) (Sucrase)
3.4.21.88	LexA repressor (EC 3.4.21.88)
3.6.3.8	Calcium-transporting ATPase (EC 3.6.3.8) (Calcium pump)
3.4.11.18	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18)
3.1.1.31	6-phosphogluconolactonase (EC 3.1.1.31)
3.5.4.3	Guanine deaminase (GDEase) (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH)
